Date,Open,High,Low,Close
11/29/2021,69.23,72.93,68.86,69.95
11/26/2021,78.1,78.17,67.4,68.15
11/24/2021,78.48,79.23,77.98,78.39
11/23/2021,76.46,78.86,75.3,78.5
11/22/2021,75.75,77.16,74.76,76.75
11/19/2021,78.29,79.33,75.09,75.94
11/18/2021,77.49,78.8,76.44,78.41
11/17/2021,80.54,80.69,77.69,78.36
11/16/2021,80.93,81.81,80.03,80.76
11/15/2021,80.66,81.2,79.3,80.88
11/12/2021,81.21,81.62,79.78,80.79
11/11/2021,81.41,82.33,80.2,81.59
11/10/2021,84.53,84.97,80.81,81.34
11/9/2021,82.16,84.63,81.78,84.15
11/8/2021,81.13,82.67,81.05,81.93
11/5/2021,79.37,81.8,78.96,81.27
11/4/2021,80.18,83.42,78.25,78.81
11/3/2021,83.07,83.08,79.69,80.86
11/2/2021,83.87,84.41,82.92,83.91
11/1/2021,83.36,84.88,82.74,84.05
10/29/2021,83.09,83.74,81.41,83.57
10/28/2021,82.25,83.21,80.58,82.81
10/27/2021,84.39,84.51,82.01,82.66
10/26/2021,83.72,84.88,82.97,84.65
10/25/2021,83.98,85.41,83.39,83.76
10/22/2021,82.61,84.22,81.76,83.76
10/21/2021,83.58,83.96,80.79,82.5
10/20/2021,82.46,83.65,80.78,83.42
10/19/2021,81.58,82.99,81.08,82.44
10/18/2021,82,83.18,81.21,81.69
10/15/2021,81.48,82.66,81.39,82.28
10/14/2021,80.59,81.68,80.38,81.31
10/13/2021,80.58,81.04,79.42,80.44
10/12/2021,80.5,81.62,79.47,80.64
10/11/2021,79.59,82.18,79.55,80.52
10/8/2021,78.86,80.11,78.63,79.35
10/7/2021,77,78.89,74.96,78.3
10/6/2021,79.04,79.78,76.83,77.43
10/5/2021,77.58,79.48,77.47,78.93
10/4/2021,75.9,78.38,75.32,77.62
10/1/2021,75.12,75.99,74.23,75.88
9/30/2021,74.78,76.07,73.14,75.03
9/29/2021,74.38,75.79,73.74,74.83
